FEMALE,NONWHITE,UNION,EDUC,AGE,EXPER,WAGE,LNWAGE
0,1,0,12,23,5,6,1.7917594692
0,0,1,12,37,19,13.97,2.6369121733
0,0,0,12,19,1,4.25,1.4469189829
0,0,0,12,47,29,10,2.302585093
1,0,0,12,48,30,7.86,2.0617866064
0,0,0,12,52,34,10,2.302585093
1,1,1,12,50,32,13,2.5649493575
0,0,0,12,31,13,7,1.9459101491
0,0,1,14,46,26,15.92,2.7675761804
1,0,0,12,45,27,14.9,2.701361213
1,0,0,12,53,35,9.8857142857,2.2910907136
0,0,0,14,39,19,10,2.302585093
1,0,0,12,34,16,15.9,2.7663191092
1,0,0,10,19,3,5.75,1.7491998548
0,0,0,16,40,18,17.3,2.8507065015
0,0,0,12,39,21,17.75,2.8763855159
0,0,0,12,19,1,5,1.6094379124
0,0,1,12,37,19,21.55,3.0703758165
1,0,0,7,64,51,6.83,1.9213246736
1,1,0,12,48,30,19,2.9444389792
1,0,0,12,61,43,9.5,2.2512917986
0,0,0,16,27,5,12,2.4849066498
1,1,1,14,27,7,9.69,2.2710944259
0,0,0,12,27,9,10.5,2.3513752572
0,1,0,16,31,9,8,2.0794415417
0,1,0,20,33,7,19.285714286,2.9593646294
1,1,0,12,31,13,10,2.302585093
0,1,0,12,25,7,8,2.0794415417
0,0,1,12,52,34,18.5,2.9177707321
1,0,0,14,32,12,13,2.5649493575
0,0,1,7,48,35,22.9,3.1311369106
0,1,1,12,55,37,28,3.3322045102
0,0,0,16,52,30,19.424242424,2.9665218955
0,0,1,18,45,21,30.65,3.4226326624
1,0,1,12,58,40,14.78,2.6932749155
1,0,0,14,50,30,13,2.5649493575
1,0,0,18,43,19,12.5,2.5257286443
1,1,0,14,52,32,17.3,2.8507065015
0,0,0,12,37,19,15.5,2.7408400239
1,0,1,12,41,23,6.5,1.8718021769
0,0,0,14,63,43,24.025,3.1790949549
1,0,0,10,31,15,3.4949494949,1.2513189249
1,0,0,12,28,10,9.95,2.2975725512
1,0,0,12,18,0,4.25,1.4469189829
0,1,1,12,28,10,7.15,1.9671123567
1,1,0,12,23,5,14,2.6390573296
1,1,0,14,51,31,18,2.8903717579
0,0,0,11,27,10,8.5,2.1400661635
0,0,0,12,59,41,25.22,3.2276373305
0,0,1,12,37,19,12.28,2.5079719227
1,0,0,14,42,22,6,1.7917594692
0,0,1,12,47,29,9.34,2.2343062522
1,0,1,14,33,13,7,1.9459101491
0,0,0,12,52,34,18,2.8903717579
1,0,0,12,53,35,17.75,2.8763855159
0,0,0,12,36,18,9.2857142857,2.2284771208
1,0,0,12,37,19,10.1,2.3125354238
1,0,1,14,47,27,8.47,2.1365305087
1,0,0,12,22,4,4.75,1.558144618
0,0,0,12,35,17,12.6,2.533696814
1,0,0,14,26,6,7.98,2.0769384115
0,0,0,16,34,12,15.383333333,2.7332846723
1,0,0,12,37,19,8.15,2.0980179273
1,0,0,12,52,34,9.37,2.2375130963
1,1,1,12,50,32,9.5,2.2512917986
1,0,0,14,35,15,8.53,2.1435893615
1,0,0,12,41,23,7.55,2.0215475633
1,0,0,12,53,35,8.75,2.1690537004
1,0,0,12,30,12,11.55,2.446685437
1,0,0,12,24,6,8,2.0794415417
1,1,0,16,52,30,17.86,2.8825635754
0,0,1,12,43,25,11.51,2.4432162227
1,0,0,16,47,25,9.1111111111,2.2094946699
0,0,0,12,22,4,4.75,1.558144618
0,0,0,12,23,5,6,1.7917594692
0,0,1,16,60,38,13.428571429,2.5973846332
0,0,0,14,43,23,19.222222222,2.9560670172
1,0,0,14,30,10,10.44,2.3456445825
0,0,0,16,27,5,8.3333333333,2.1202635362
1,0,0,16,28,6,9.3333333333,2.2335922215
1,0,0,12,53,35,2.55,0.9360933592
0,0,1,18,47,23,25.95,3.2561716096
1,0,1,18,48,24,14.425,2.6689628124
0,1,0,12,25,7,7.45,2.0082140324
0,0,1,12,33,15,8.64,2.1564025828
0,0,0,16,27,5,28.847826087,3.3620346378
1,0,0,12,29,11,8.5,2.1400661635
0,0,0,18,55,31,9.26,2.2257040487
0,0,0,12,21,3,5.5,1.7047480922
1,1,0,12,26,8,8.03,2.083184528
0,0,1,11,20,3,7.45,2.0082140324
0,0,0,16,46,24,19.3,2.9601050959
0,0,0,12,26,8,10.3,2.3321438952
1,0,0,12,42,24,6.75,1.9095425049
0,0,0,12,18,0,7,1.9459101491
1,0,0,12,59,41,9,2.1972245773
0,0,0,12,37,19,15,2.7080502011
0,0,0,12,18,0,7.6888888889,2.0397762853
0,0,0,16,34,12,25.475,3.2376975791
1,0,0,12,55,37,6.75,1.9095425049
0,0,0,12,23,5,5,1.6094379124
1,0,0,12,20,2,6.3333333333,1.8458266905
1,0,0,12,23,5,7.3,1.9878743482
0,0,1,12,22,4,9.7,2.2721258855
0,0,0,14,43,23,11.288888889,2.4238189578
1,0,0,12,21,3,6.5,1.8718021769
0,0,0,20,54,28,36.28,3.5912666252
1,0,0,12,35,17,1.5,0.4054651081
0,0,0,12,42,24,2.3611111111,0.859132318
1,0,0,12,21,3,8,2.0794415417
1,0,0,7,56,43,5.25,1.6582280766
0,0,0,18,26,2,5,1.6094379124
0,0,1,11,50,33,19.25,2.9575110607
1,1,0,11,24,7,5.5,1.7047480922
0,0,1,16,43,21,20,2.9957322736
0,0,1,12,23,5,17,2.8332133441
0,0,1,12,47,29,18.97,2.9428587839
0,0,0,12,19,1,5.75,1.7491998548
0,0,0,12,25,7,8.79,2.1736147117
0,0,0,12,28,10,6.7333333333,1.9070703157
1,0,0,16,23,1,15.92,2.7675761804
1,0,0,16,22,0,10.575,2.3584927249
1,0,1,18,45,21,18,2.8903717579
1,0,0,14,56,36,10,2.302585093
0,0,0,14,21,1,7.5,2.0149030205
0,0,0,14,30,10,5,1.6094379124
0,0,0,12,47,29,3.45,1.238374231
0,0,0,12,43,25,10.16,2.3184584422
1,1,0,16,39,17,5.25,1.6582280766
0,0,0,11,37,20,11.25,2.4203681287
0,0,0,16,48,26,9.125,2.2110178995
1,0,1,12,45,27,13.52,2.6041700706
0,0,1,16,56,34,14.9,2.701361213
1,0,0,12,45,27,18.5,2.9177707321
0,0,0,16,25,3,7.7111111111,2.0426622902
1,0,0,12,38,20,9.88,2.2905125118
1,0,1,16,43,21,6.46,1.8656293178
1,0,0,12,53,35,12.625,2.5356789752
1,0,0,12,20,2,5.4,1.6863989536
1,0,0,12,54,36,6.97,1.9416152248
1,0,0,14,36,16,14,2.6390573296
0,0,0,12,53,35,16,2.7725887222
0,0,0,12,54,36,9.6,2.2617630985
1,1,0,10,48,32,13.46,2.5997223242
1,0,0,12,42,24,9.6222222222,2.2640752382
1,0,0,14,40,20,7.08,1.9572739077
1,0,0,18,52,28,20,2.9957322736
0,0,0,10,19,3,5,1.6094379124
0,0,0,12,23,5,7,1.9459101491
0,0,0,12,20,2,4.45,1.4929040962
1,0,0,11,18,1,4.75,1.558144618
0,0,0,11,18,1,5.25,1.6582280766
0,0,0,14,33,13,8.825,2.1775886028
1,0,0,12,33,15,8.25,2.1102132003
